Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
nihss_5_desc,nih_stroke_scale,5. Motor Arm,descriptive,"<b>5. Motor Arm</b>: The limb is placed in the appropriate position: extend the arms (palms down) 90 degrees (if sitting) or 45 degrees (if supine). Drift is scored if the arm falls before 10 seconds. The aphasic patient is encouraged using urgency in the voice and pantomime, but not noxious stimulation. Each limb is tested in turn, beginning with the non-paretic arm. Only in the case of amputation or joint fusion at the shoulder, the examiner should record the score as untestable (UN), and clearly write the explanation for this choice.",,,,,,,,,,,,,
nihss_5a,nih_stroke_scale,,radio,5a. Left Arm,"0, 0 = No drift; limb holds 90 (or 45) degrees for full 10 seconds. | 1, 1 = Drift; limb holds 90 (or 45) degrees, but drifts down before full 10 seconds; does not hit bed or other support. | 2, 2 = Some effort against gravity; limb cannot get to or maintain (if cued) 90 (or 45) degrees, drifts down to bed, but has some effort against gravity. | 3, 3 = No effort against gravity; limb falls. | 4, 4 = No movement. | UN, UN = Amputation or joint fusion",,,,,,,,LV,,,,
nihss_5b,nih_stroke_scale,,radio,5b. Right Arm,"0, 0 = No drift; limb holds 90 (or 45) degrees for full 10 seconds. | 1, 1 = Drift; limb holds 90 (or 45) degrees, but drifts down before full 10 seconds; does not hit bed or other support. | 2, 2 = Some effort against gravity; limb cannot get to or maintain (if cued) 90 (or 45) degrees, drifts down to bed, but has some effort against gravity. | 3, 3 = No effort against gravity; limb falls. | 4, 4 = No movement. | UN, UN = Amputation or joint fusion",,,,,,,,LV,,,,
nihss_5_un_explain,nih_stroke_scale,,text,Explanation if UN selected for Arm,,,,,,,"[nihss_5a] = 'UN' or [nihss_5b] = 'UN'",,,,,,,
nihss_6_desc,nih_stroke_scale,6. Motor Leg,descriptive,"<b>6. Motor Leg</b>: The limb is placed in the appropriate position: hold the leg at 30 degrees (always tested supine). Drift is scored if the leg falls before 5 seconds. The aphasic patient is encouraged using urgency in the voice and pantomime, but not noxious stimulation. Each limb is tested in turn, beginning with the non-paretic leg. Only in the case of amputation or joint fusion at the hip, the examiner should record the score as untestable (UN), and clearly write the explanation for this choice.",,,,,,,,,,,,,
nihss_6a,nih_stroke_scale,,radio,6a. Left Leg,"0, 0 = No drift; leg holds 30-degree position for full 5 seconds. | 1, 1 = Drift; leg falls by the end of the 5-second period but does not hit bed. | 2, 2 = Some effort against gravity; leg falls to bed by 5 seconds, but has some effort against gravity. | 3, 3 = No effort against gravity; leg falls to bed immediately. | 4, 4 = No movement. | UN, UN = Amputation or joint fusion",,,,,,,,LV,,,,
nihss_6b,nih_stroke_scale,,radio,6b. Right Leg,"0, 0 = No drift; leg holds 30-degree position for full 5 seconds. | 1, 1 = Drift; leg falls by the end of the 5-second period but does not hit bed. | 2, 2 = Some effort against gravity; leg falls to bed by 5 seconds, but has some effort against gravity. | 3, 3 = No effort against gravity; leg falls to bed immediately. | 4, 4 = No movement. | UN, UN = Amputation or joint fusion",,,,,,,,LV,,,,
nihss_6_un_explain,nih_stroke_scale,,text,Explanation if UN selected for Leg,,,,,,,"[nihss_6a] = 'UN' or [nihss_6b] = 'UN'",,,,,,,
nihss_7,nih_stroke_scale,7. Limb Ataxia,radio,"<b>7. Limb Ataxia</b>: This item is aimed at finding evidence of a unilateral cerebellar lesion. Test with eyes open. In case of visual defect, ensure testing is done in intact visual field. The finger-nose-finger and heel-shin tests are performed on both sides, and ataxia is scored only if present out of proportion to weakness. Ataxia is absent in the patient who cannot understand or is paralyzed. Only in the case of amputation or joint fusion, the examiner should record the score as untestable (UN), and clearly write the explanation for this choice. In case of blindness, test by having the patient touch nose from extended arm position.","0, 0 = Absent. | 1, 1 = Present in one limb. | 2, 2 = Present in two limbs. | UN, UN = Amputation or joint fusion",,,,,,,,LV,,,,
nihss_7_un_explain,nih_stroke_scale,,text,Explanation if UN selected for Ataxia,,,,,,,"[nihss_7] = 'UN'",,,,,,,
nihss_8,nih_stroke_scale,8. Sensory,radio,"<b>8. Sensory</b>: Sensation or grimace to pinprick when tested, or withdrawal from noxious stimulus in the obtunded or aphasic patient. Only sensory loss attributed to stroke is scored as abnormal and the examiner should test as many body areas (arms [not hands], legs, trunk, face) as needed to accurately check for hemisensory loss. A score of 2, “severe or total sensory loss,” should only be given when a severe or total loss of sensation can be clearly demonstrated. Stuporous and aphasic patients will, therefore, probably score 1 or 0. The patient with brainstem stroke who has bilateral loss of sensation is scored 2. If the patient does not respond and is quadriplegic, score 2. Patients in a coma (item 1a=3) are automatically given a 2 on this item.","0, 0 = Normal; no sensory loss. | 1, 1 = Mild-to-moderate sensory loss; patient feels pinprick is less sharp or is dull on the affected side; or there is a loss of superficial pain with pinprick, but patient is aware of being touched. | 2, 2 = Severe to total sensory loss; patient is not aware of being touched in the face, arm, and leg.",,,,,,,,LV,,,,
nihss_9,nih_stroke_scale,9. Best Language,radio,"<b>9. Best Language</b>: A great deal of information about comprehension will be obtained during the preceding sections of the examination. For this scale item, the patient is asked to describe what is happening in the attached picture, to name the items on the attached naming sheet and to read from the attached list of sentences. Comprehension is judged from responses here, as well as to all of the commands in the preceding general neurological exam. If visual loss interferes with the tests, ask the patient to identify objects placed in the hand, repeat, and produce speech. The intubated patient should be asked to write. The patient in a coma (item 1a=3) will automatically score 3 on this item. The examiner must choose a score for the patient with stupor or limited cooperation, but a score of 3 should be used only if the patient is mute and follows no one-step commands.","0, 0 = No aphasia; normal. | 1, 1 = Mild-to-moderate aphasia; some obvious loss of fluency or facility of comprehension, without significant limitation on ideas expressed or form of expression. | 2, 2 = Severe aphasia; all communication is through fragmentary expression; great need for inference, questioning, and guessing by the listener. | 3, 3 = Mute, global aphasia; no usable speech or auditory comprehension.",,,,,,,,LV,,,,
nihss_10,nih_stroke_scale,10. Dysarthria,radio,"<b>10. Dysarthria</b>: If patient is thought to be normal, an adequate sample of speech must be obtained by asking patient to read or repeat words from the attached list. If the patient has severe aphasia, the clarity of articulation of spontaneous speech can be rated. Only if the patient is intubated or has other physical barriers to producing speech, the examiner should record the score as untestable (UN), and clearly write an explanation for this choice. Do not tell the patient why he or she is being tested.","0, 0 = Normal. | 1, 1 = Mild-to-moderate dysarthria; patient slurs at least some words and, at worst, can be understood with some difficulty. | 2, 2 = Severe dysarthria; patient's speech is so slurred as to be unintelligible in the absence of or out of proportion to any dysphasia, or is mute/anarthric. | UN, UN = Intubated or other physical barrier",,,,,,,,LV,,,,
nihss_10_un_explain,nih_stroke_scale,,text,Explanation if UN selected for Dysarthria,,,,,,,"[nihss_10] = 'UN'",,,,,,,
nihss_11,nih_stroke_scale,11. Extinction and Inattention,radio,"<b>11. Extinction and Inattention (formerly Neglect)</b>: Sufficient information to identify neglect may be obtained during the prior testing. If the patient has a severe visual loss preventing visual double simultaneous stimulation, and the cutaneous stimuli are normal, the score is normal. If the patient has aphasia but does appear to attend to both sides, the score is normal. The presence of visual spatial neglect or anosagnosia may also be taken as evidence of abnormality. Since the abnormality is scored only if present, the item is never untestable.","0, 0 = No abnormality. | 1, 1 = Visual, tactile, auditory, spatial, or personal inattention or extinction to bilateral simultaneous stimulation in one of the sensory modalities. | 2, 2 = Profound hemi-inattention or extinction to more than one modality; does not recognize own hand or orients to only one side of space.",,,,,,,,LV,,,,
nihss_notes,nih_stroke_scale,Notes,notes,Additional Notes,,,,,,,,,,,,,,,
